fn,md5_repo,md5_prod,delta_bytes,balde_auto,critica,prioridade,decisao,responsavel
elevenlabs-dialogue,110e07e1fd5d32e70003d94714f355e1,4faa04c6e29b2d9baef82891c1eb2763,-62,B,false,P3,,
elevenlabs-scribe-token,85899a45f8c3120025274f2d64f6436b,14347ca6e08e7d0ff2267ee3abe9eb01,-42,D,false,P3,,
elevenlabs-sfx,79003293b46f54a3e86c12bb9306eb05,795c150e71bd14e0686f0435e4b01538,-61,B,false,P3,,
elevenlabs-sts,07a1d00cab76f821d0077a19fc3a294e,d294834954f45c82a61040f2db7a5b21,-72,B,false,P3,,
elevenlabs-tts,34e4a8bc4bf54618919b13cb70b07e4a,aefb4564501ccf78265d72c31ca4af33,-72,B,false,P3,,
elevenlabs-tts-stream,eda239bbf3ad5f32d92a62ed359d2609,6bcd248f5a65d7a0d8232cf892322d3d,-73,B,false,P3,,
elevenlabs-voice,72fcd466c0745cb39f27737559e33da2,ba2b9ca69984fba632a3edc9b8c0317c,-111,B,false,P3,,
elevenlabs-voice-design,196d4643678f25a439d608f4f98a32e5,be075490a270e5072371dbfa1dce70e5,-91,B,false,P3,,
email-imap-bridge,ee3c70614ddf80f42a7f3aa02f78c093,7575e1dc0a2466d9e32691da753f723b,-295,B,false,P3,,
email-track-link,739cdafc0c6cef235e6bdb4561e4ae1f,551d24653eb70b41f26b39906970685f,-102,B,false,P3,,
email-track-pixel,96f38b0599ff9471b3a47683216bf97b,a513a40cfadb349d8b87b0b3cbfb2646,-126,B,false,P3,,
evolution-bitrix-sync,388d28c80eaca8378d332f2ca8e51f2a,55cf9d81de37f2cf256b2b19d931bbf0,-106,B,false,P3,,
evolution-chatbot,95d5161705da4b700e8a997db53e01ec,f8b8fc3ad0b61ad2b022d67f19e06343,-156,B,false,P3,,
evolution-credentials,c4c2b037367600a3a062bdf367cc6fba,10781e11cc09a7caacb750756c8c0df6,-102,B,false,P3,,
evolution-health,432b15be413b387c82d012948072d611,539f7b1412377b903c2700f0512d1dfd,-239,B,false,P3,,
evolution-retry-metrics,28dca8800851d96b72e1b532477c3de3,d47ba016a8624ca6b221b0b9e3b8ea9f,-158,B,false,P3,,
evolution-sender,13d8f7c2b9a96313e11fe46e50a0bf9f,31077f181ce7a02486bdd84e7d2a95c7,-360,B,false,P3,,
evolution-sync,a31fc968fea25a27118aecdfbaec0492,cb5e90d16128a74da61ba12b85ced972,-112,B,false,P3,,
evolution-templates,587615d59b8f5a32927a583264b320f1,f2f5ef9ac319e33fa0c8c181680a29f1,-115,B,false,P3,,
file-security-scanner,33592b2b9ec3562bee7cec223c497783,7f00b33f56ff26a65c052ef4bd66c419,-262,B,false,P3,,
get-mapbox-token,c24a7d18083a1ca46d39df54b9d43e46,400ce7bd5323093ed8c855f1e76d16e8,-22,D,false,P3,,
get-sip-password,dda18bf21802dd999d699312e0c76a11,3411f5dd8e0c320b85c371f0b5698576,-34,D,false,P3,,
gmail-health,c6416b374d4752bd1195478d882880c5,a589c907ac467d6e8d35ef326d50c8ba,-97,B,false,P3,,
